Aeronautes saxatalis
Apus acuticauda
Apus affinis
Apus alexandri
Apus apus
Apus balstoni
Apus barbatus
Apus batesi
Apus berliozi
Apus bradfieldi
Apus caffer
Apus horus
Apus niansae
Apus nipalensis
Apus pacificus
Apus pallidus
Apus sladeniae
Apus toulsoni
Apus unicolor
Chaetura brachyura
Chaetura chapmani
Chaetura cinereiventris
Chaetura egregia
Chaetura fumosa
Chaetura martinica
Chaetura meridionalis
Chaetura pelagica
Chaetura spinicaudus
Chaetura vauxi
Chaetura viridipennis
Collocalia amelis
Collocalia bartschi
Collocalia brevirostris
Collocalia elaphra
Collocalia esculenta
Collocalia francica
Collocalia fuciphaga
Collocalia germani
Collocalia hirundinacea
Collocalia infuscata
Collocalia inquieta
Collocalia leucophaea
Collocalia linchi
Collocalia maxima
Collocalia mearnsi
Collocalia nuditarsus
Collocalia ocista
Collocalia orientalis
Collocalia palawanensis
Collocalia papuensis
Collocalia pelewensis
Collocalia rogersi
Collocalia salangana
Collocalia sawtelli
Collocalia spodiopygia
Collocalia terraereginae
Collocalia troglodytes
Collocalia unicolor
Collocalia vanikorensis
Collocalia vulcanorum
Collocalia whiteheadi
Cypseloides cherriei
Cypseloides cryptus
Cypseloides fumigatus
Cypseloides lemosi
Cypseloides niger
Cypseloides rothschildi
Cypseloides senex
Cypseloides storeri
Cypsiurus balasiensis
Cypsiurus parvus
Hirundapus caudacutus
Hirundapus celebensis
Hirundapus cochinchinensis
Hirundapus giganteus
Hydrochous gigas
Mearnsia novaeguineae
Mearnsia picina
Neafrapus boehmi
Neafrapus cassini
Panyptila cayennensis
Panyptila sanctihieronymi
Rhaphidura leucopygialis
Rhaphidura sabini
Schoutedenapus myoptilus
Schoutedenapus schoutedeni
Streptoprocne biscutata
Streptoprocne phelpsi
Streptoprocne rutila
Streptoprocne semicollaris
Streptoprocne zonaris
Tachornis furcata
Tachornis phoenicobia
Tachornis squamata
Tachymarptis aequatorialis
Tachymarptis melba
Telacanthura melanopygia
Telacanthura ussheri
Zoonavena grandidieri
Zoonavena sylvatica
Zoonavena thomensis
Hemiprocne comata
Hemiprocne coronata
Hemiprocne longipennis
Hemiprocne mystacea
Abeillia abeillei
Adelomyia melanogenys
Aglaeactis aliciae
Aglaeactis castelnaudii
Aglaeactis cupripennis
Aglaeactis pamela
Aglaiocercus berlepschi
Aglaiocercus coelestis
Aglaiocercus kingi
Amazilia amabilis
Amazilia amazilia
Amazilia beryllina
Amazilia boucardi
Amazilia brevirostris
Amazilia candida
Amazilia castaneiventris
Amazilia chionogaster
Amazilia cyanifrons
Amazilia cyanocephala
Amazilia cyanura
Amazilia decora
Amazilia edward
Amazilia fimbriata
Amazilia franciae
Amazilia lactea
Amazilia leucogaster
Amazilia luciae
Amazilia rosenbergi
Amazilia rutila
Amazilia saucerrottei
Amazilia tobaci
Amazilia tzacatl
Amazilia versicolor
Amazilia violiceps
Amazilia viridicauda
Amazilia viridifrons
Amazilia viridigaster
Amazilia yucatanensis
Androdon aequatorialis
Anopetia gounellei
Anthocephala floriceps
Anthracothorax dominicus
Anthracothorax mango
Anthracothorax nigricollis
Anthracothorax prevostii
Anthracothorax veraguensis
Anthracothorax viridigula
Anthracothorax viridis
Aphantochroa cirrochloris
Archilochus alexandri
Archilochus colubris
Atthis ellioti
Atthis heloisa
Augastes lumachella
Augastes scutatus
Avocettula recurvirostris
Boissonneaua flavescens
Boissonneaua jardini
Boissonneaua matthewsii
Calliphlox amethystina
Calliphlox bryantae
Calliphlox evelynae
Calliphlox mitchellii
Calothorax lucifer
Calothorax pulcher
Calypte anna
Calypte costae
Campylopterus curvipennis
Campylopterus duidae
Campylopterus ensipennis
Campylopterus excellens
Campylopterus falcatus
Campylopterus hemileucurus
Campylopterus hyperythrus
Campylopterus largipennis
Campylopterus phainopeplus
Campylopterus rufus
Campylopterus villaviscensio
Chaetocercus astreans
Chaetocercus berlepschi
Chaetocercus bombus
Chaetocercus heliodor
Chaetocercus jourdanii
Chaetocercus mulsant
Chalcostigma herrani
Chalcostigma heteropogon
Chalcostigma olivaceum
Chalcostigma ruficeps
Chalcostigma stanleyi
Chalybura buffonii
Chalybura urochrysia
Chlorestes notata
Chlorostilbon alice
Chlorostilbon assimilis
Chlorostilbon auriceps
Chlorostilbon canivetii
Chlorostilbon forficatus
Chlorostilbon gibsoni
Chlorostilbon lucidus
Chlorostilbon maugaeus
Chlorostilbon melanorhynchus
Chlorostilbon mellisugus
Chlorostilbon olivaresi
Chlorostilbon poortmani
Chlorostilbon ricordii
Chlorostilbon russatus
Chlorostilbon stenurus
Chlorostilbon swainsonii
Chrysolampis mosquitus
Chrysuronia oenone
Clytolaema rubricauda
Coeligena bonapartei
Coeligena coeligena
Coeligena helianthea
Coeligena iris
Coeligena lutetiae
Coeligena orina
Coeligena phalerata
Coeligena prunellei
Coeligena torquata
Coeligena violifer
Coeligena wilsoni
Colibri coruscans
Colibri delphinae
Colibri serrirostris
Colibri thalassinus
Cyanophaia bicolor
Cynanthus latirostris
Cynanthus sordidus
Damophila julie
Discosura conversii
Discosura langsdorffi
Discosura letitiae
Discosura longicaudus
Discosura popelairii
Doricha eliza
Doricha enicura
Doryfera johannae
Doryfera ludovicae
Elvira chionura
Elvira cupreiceps
Ensifera ensifera
Eriocnemis alinae
Eriocnemis cupreoventris
Eriocnemis derbyi
Eriocnemis glaucopoides
Eriocnemis godini
Eriocnemis isabellae
Eriocnemis luciani
Eriocnemis mirabilis
Eriocnemis mosquera
Eriocnemis nigrivestis
Eriocnemis vestita
Eugenes fulgens
Eulampis holosericeus
Eulampis jugularis
Eulidia yarrellii
Eupetomena macroura
Eupherusa cyanophrys
Eupherusa eximia
Eupherusa nigriventris
Eupherusa poliocerca
Eutoxeres aquila
Eutoxeres condamini
Florisuga fusca
Florisuga mellivora
Glaucis aeneus
Glaucis dohrnii
Glaucis hirsutus
Goethalsia bella
Goldmania violiceps
Haplophaedia assimilis
Haplophaedia aureliae
Haplophaedia lugens
Heliactin bilophus
Heliangelus amethysticollis
Heliangelus exortis
Heliangelus mavors
Heliangelus micraster
Heliangelus regalis
Heliangelus strophianus
Heliangelus viola
Heliodoxa aurescens
Heliodoxa branickii
Heliodoxa gularis
Heliodoxa imperatrix
Heliodoxa jacula
Heliodoxa leadbeateri
Heliodoxa rubinoides
Heliodoxa schreibersii
Heliodoxa xanthogonys
Heliomaster constantii
Heliomaster furcifer
Heliomaster longirostris
Heliomaster squamosus
Heliothryx auritus
Heliothryx barroti
Hylocharis chrysura
Hylocharis cyanus
Hylocharis eliciae
Hylocharis grayi
Hylocharis humboldtii
Hylocharis leucotis
Hylocharis sapphirina
Hylocharis xantusii
Hylonympha macrocerca
Klais guimeti
Lafresnaya lafresnayi
Lampornis amethystinus
Lampornis calolaemus
Lampornis castaneoventris
Lampornis clemenciae
Lampornis hemileucus
Lampornis sybillae
Lampornis viridipallens
Lamprolaima rhami
Lepidopyga coeruleogularis
Lepidopyga goudoti
Lepidopyga lilliae
Lesbia nuna
Lesbia victoriae
Leucippus baeri
Leucippus chlorocercus
Leucippus fallax
Leucippus taczanowskii
Leucochloris albicollis
Loddigesia mirabilis
Lophornis adorabilis
Lophornis brachylophus
Lophornis chalybeus
Lophornis delattrei
Lophornis gouldii
Lophornis helenae
Lophornis magnificus
Lophornis ornatus
Lophornis pavoninus
Lophornis stictolophus
Mellisuga helenae
Mellisuga minima
Metallura aeneocauda
Metallura baroni
Metallura eupogon
Metallura iracunda
Metallura odomae
Metallura phoebe
Metallura theresiae
Metallura tyrianthina
Metallura williami
Microchera albocoronata
Microstilbon burmeisteri
Myrmia micrura
Myrtis fanny
Ocreatus underwoodii
Opisthoprora euryptera
Oreonympha nobilis
Oreotrochilus adela
Oreotrochilus chimborazo
Oreotrochilus estella
Oreotrochilus leucopleurus
Oreotrochilus melanogaster
Orthorhyncus cristatus
Oxypogon guerinii
Panterpe insignis
Patagona gigas
Phaeochroa cuvierii
Phaethornis anthophilus
Phaethornis atrimentalis
Phaethornis augusti
Phaethornis bourcieri
Phaethornis eurynome
Phaethornis griseogularis
Phaethornis guy
Phaethornis hispidus
Phaethornis idaliae
Phaethornis koepckeae
Phaethornis longirostris
Phaethornis longuemareus
Phaethornis malaris
Phaethornis nattereri
Phaethornis philippii
Phaethornis pretrei
Phaethornis ruber
Phaethornis rupurumii
Phaethornis squalidus
Phaethornis striigularis
Phaethornis stuarti
Phaethornis subochraceus
Phaethornis superciliosus
Phaethornis syrmatophorus
Phaethornis yaruqui
Phlogophilus harterti
Phlogophilus hemileucurus
Polyonymus caroli
Polytmus guainumbi
Polytmus milleri
Polytmus theresiae
Pterophanes cyanopterus
Ramphodon naevius
Ramphomicron dorsale
Ramphomicron microrhynchum
Rhodopis vesper
Sappho sparganura
Schistes geoffroyi
Selasphorus ardens
Selasphorus flammula
Selasphorus platycercus
Selasphorus rufus
Selasphorus sasin
Selasphorus scintilla
Sephanoides fernandensis
Sephanoides sephaniodes
Stellula calliope
Stephanoxis lalandi
Sternoclyta cyanopectus
Taphrolesbia griseiventris
Taphrospilus hypostictus
Thalurania colombica
Thalurania fannyi
Thalurania furcata
Thalurania glaucopis
Thalurania ridgwayi
Thalurania watertonii
Thaumastura cora
Threnetes leucurus
Threnetes niger
Threnetes ruckeri
Tilmatura dupontii
Topaza pella
Topaza pyra
Trochilus polytmus
Trochilus scitulus
Urochroa bougueri
Urosticte benjamini
Urosticte ruficrissa
Apteryx australis
Apteryx haastii
Apteryx mantelli
Apteryx owenii
Aceros cassidix
Aceros comatus
Aceros corrugatus
Aceros everetti
Aceros leucocephalus
Aceros narcondami
Aceros nipalensis
Aceros plicatus
Aceros subruficollis
Aceros undulatus
Aceros waldeni
Anorrhinus austeni
Anorrhinus galeritus
Anorrhinus tickelli
Anthracoceros albirostris
Anthracoceros coronatus
Anthracoceros malayanus
Anthracoceros marchei
Anthracoceros montani
Buceros bicornis
Buceros hydrocorax
Buceros rhinoceros
Bycanistes albotibialis
Bycanistes brevis
Bycanistes bucinator
Bycanistes cylindricus
Bycanistes fistulator
Bycanistes subcylindricus
Ceratogymna atrata
Ceratogymna elata
Ocyceros birostris
Ocyceros gingalensis
Ocyceros griseus
Penelopides affinis
Penelopides exarhatus
Penelopides manillae
Penelopides mindorensis
Penelopides panini
Penelopides samarensis
Rhinoplax vigil
Tockus alboterminatus
Tockus bradfieldi
Tockus camurus
Tockus deckeni
Tockus erythrorhynchus
Tockus fasciatus
Tockus flavirostris
Tockus hartlaubi
Tockus hemprichii
Tockus jacksoni
Tockus leucomelas
Tockus monteiri
Tockus nasutus
Tockus pallidirostris
Tropicranus albocristatus
Bucorvus abyssinicus
Bucorvus cafer
Phoeniculus bollei
Phoeniculus castaneiceps
Phoeniculus damarensis
Phoeniculus purpureus
Phoeniculus somaliensis
Rhinopomastus aterrimus
Rhinopomastus cyanomelas
Rhinopomastus minor
Upupa epops
Caprimulgus aegyptius
Caprimulgus affinis
Caprimulgus anthonyi
Caprimulgus asiaticus
Caprimulgus atripennis
Caprimulgus badius
Caprimulgus batesi
Caprimulgus binotatus
Caprimulgus carolinensis
Caprimulgus cayennensis
Caprimulgus celebensis
Caprimulgus centralasicus
Caprimulgus clarus
Caprimulgus climacurus
Caprimulgus concretus
Caprimulgus cubanensis
Caprimulgus donaldsoni
Caprimulgus ekmani
Caprimulgus enarratus
Caprimulgus europaeus
Caprimulgus eximius
Caprimulgus fossii
Caprimulgus fraenatus
Caprimulgus heterurus
Caprimulgus hirundinaceus
Caprimulgus indicus
Caprimulgus inornatus
Caprimulgus longirostris
Caprimulgus macrurus
Caprimulgus maculicaudus
Caprimulgus maculosus
Caprimulgus madagascariensis
Caprimulgus mahrattensis
Caprimulgus manillensis
Caprimulgus meesi
Caprimulgus natalensis
Caprimulgus nigrescens
Caprimulgus nigriscapularis
Caprimulgus noctitherus
Caprimulgus nubicus
Caprimulgus parvulus
Caprimulgus pectoralis
Caprimulgus poliocephalus
Caprimulgus prigoginei
Caprimulgus pulchellus
Caprimulgus ridgwayi
Caprimulgus ruficollis
Caprimulgus rufigena
Caprimulgus rufus
Caprimulgus ruwenzorii
Caprimulgus salvini
Caprimulgus saturatus
Caprimulgus sericocaudatus
Caprimulgus solala
Caprimulgus stellatus
Caprimulgus tristigma
Caprimulgus vociferus
Caprimulgus whitelyi
Chordeiles acutipennis
Chordeiles gundlachii
Chordeiles minor
Chordeiles pusillus
Chordeiles rupestris
Eleothreptus anomalus
Eleothreptus candicans
Eurostopodus archboldi
Eurostopodus argus
Eurostopodus diabolicus
Eurostopodus macrotis
Eurostopodus mystacalis
